Nombre;Caloria;Proteina;Grasa;Fibra;Carbohidrato
Baked Potato;95.0;2.63;0.13;2.3;21.4
Crispy Chicken;187.0;33.4;4.71;0.0;0.51
Donut;421.0;6.14;22.7;2.1;47.9
Fries;180.05;2.97;12.31;1.83;15.27
Hot Dog;211.0;19.3;14.04;0.0;1.75
Sandwich;164.32;7.46;8.1;2.22;15.95
Tacos;158.52;8.02;8.94;2.04;11.99
Taquitos;176.85;10.0;9.67;1.88;13.03
apple pie;265.0;2.4;12.5;0;37.1
burger;182.66;14.24;8.98;0.62;11.46
butter naan;274.76;6.92;8.89;1.81;41.42
chai;41.6;1.39;1.63;0.45;5.7
chapati;297.0;11.2;7.45;4.9;46.4
cheesecake;321.0;5.5;22.5;0.4;25.5
chicken curry;141.11;9.43;8.54;1.18;6.88
chole bhature;187.93;6.0;8.25;3.69;23.76
dal makhani;139.88;5.56;6.32;3.91;16.65
fried rice;172.84;5.58;5.67;1.24;24.54
ice cream;205.03;3.16;11.94;0.71;22.35
idli;565.0;6.36;0.62;5.0;26.31
jalebi;234.56;2.14;8.03;0.6;39.46
rolls;252.0;6.71;8.37;2.26;37.71
kadai paneer;74.53;3.7;4.14;1.57;6.57
masala dosa;153.37;3.79;4.9;2.5;23.45
momos;178.58;7.3;8.21;1.3;18.88
omelette;161.09;8.97;12.42;0.62;3.32
pakora;175.38;4.68;10.18;3.33;17.19
pav bhaji;99.25;2.69;3.6;2.27;14.96
pizza;268.0;10.4;12.3;2.2;29.0
sushi;126.96;4.18;2.75;0.76;20.9
